Commercial,Ville,Région,Client,Date de commande,Article,Quantité,Prix,Chiffre d'affaire,Bénéfice
Frances Warren,New York,Est,Louis Mason,12/12/2016,Widgets,5,"53,35","266,75",30
Patrick Graham,California,Ouest,Tammy Clark,12/12/2016,Stuff,2,"16,32","32,64",6
Sara Snyder,Minnesota,Est,Sean Carr,12/12/2016,Stuff,4,"16,32","65,28",12
Randy Watson,Indiana,Est,Frank Spencer,12/12/2016,Junk,4,"12,42","49,68",8
Diane Gonzalez,Washington,Ouest,Cheryl Morris,12/12/2016,Widgets,9,"53,35","480,15",54
Diane Gonzalez,California,Ouest,Kathy Porter,12/12/2016,Things,1,"17,83","17,83","3,5"
Randy Watson,Minnesota,Est,Carl Ford,12/12/2016,Junk,9,"12,42","111,78",18
Frances Warren,Minnesota,Est,Alice Kelly,12/12/2016,Junk,4,"12,42","49,68",8
Sara Snyder,Minnesota,Est,Aaron Morris,12/12/2016,Junk,10,"12,42","124,2",20
Patrick Graham,Washington,Ouest,Karen Willis,12/12/2016,Widgets,4,"53,35","213,4",24
Diane Gonzalez,California,Ouest,Nicholas Nguyen,12/12/2016,Widgets,8,"53,35","426,8",48
Randy Watson,Indiana,Est,Joshua Washington,12/12/2016,Widgets,7,"53,35","373,45",42
Diane Gonzalez,Nevada,Ouest,Michelle Elliott,12/12/2016,Widgets,3,"53,35","160,05",18
Diane Gonzalez,Nevada,Ouest,Kimberly Bennett,12/12/2016,Things,4,"17,83","71,32",14
Diane Gonzalez,California,Ouest,Judy Lopez,12/12/2016,Widgets,8,"53,35","426,8",48
Patrick Graham,Oregon,Ouest,Wanda Allen,12/12/2016,Stuff,4,"16,32","65,28",12
Sara Snyder,Minnesota,Est,Wanda Cole,12/12/2016,Widgets,7,"53,35","373,45",42
Patrick Graham,California,Ouest,Beverly Jacobs,12/12/2016,Things,5,"17,83","89,15","17,5"
Sara Snyder,Minnesota,Est,Juan Olson,12/12/2016,Stuff,2,"16,32","32,64",6
Frances Warren,Minnesota,Est,Jacqueline Hart,12/12/2016,Junk,2,"12,42","24,84",4
Sara Snyder,Indiana,Est,Heather Larson,12/12/2016,Widgets,5,"53,35","266,75",30
Diane Gonzalez,California,Ouest,Tina Schmidt,12/12/2016,Things,8,"17,83","142,64",28
Frances Warren,New York,Est,Joe Ryan,12/12/2016,Things,9,"17,83","160,47","31,5"
Patrick Graham,Washington,Ouest,Ernest Hernandez,12/12/2016,Widgets,3,"53,35","160,05",18
Frances Warren,New York,Est,Cynthia Day,12/12/2016,Widgets,4,"53,35","213,4",24
Sara Snyder,New York,Est,Christopher Oliver,12/12/2016,Junk,2,"12,42","24,84",4
Randy Watson,New York,Est,Jason Black,12/12/2016,Widgets,9,"53,35","480,15",54
Frances Warren,Indiana,Est,Joseph Foster,12/12/2016,Things,3,"17,83","53,49","10,5"
Randy Watson,Minnesota,Est,Charles Ray,12/12/2016,Widgets,8,"53,35","426,8",48
Patrick Graham,California,Ouest,Helen Diaz,13/12/2016,Stuff,3,"16,32","48,96",9
Sara Snyder,New York,Est,Jerry Pierce,13/12/2016,Things,5,"17,83","89,15","17,5"
Sara Snyder,New York,Est,Marie Rivera,13/12/2016,Stuff,9,"16,32","146,88",27
Sara Snyder,New York,Est,Marie Rivera,13/12/2016,Things,3,"17,83","53,49","10,5"
Frances Warren,Minnesota,Est,Christopher Pierce,13/12/2016,Junk,3,"12,42","37,26",6
Sara Snyder,Minnesota,Est,Kevin Barnes,13/12/2016,Stuff,7,"16,32","114,24",21
Sara Snyder,Indiana,Est,Arthur Simmons,13/12/2016,Things,2,"17,83","35,66",7
Randy Watson,Minnesota,Est,Eugene Flores,13/12/2016,Junk,7,"12,42","86,94",14
Diane Gonzalez,California,Ouest,Andrew Adams,13/12/2016,Junk,4,"12,42","49,68",8
Frances Warren,Minnesota,Est,Sean Carr,13/12/2016,Junk,2,"12,42","24,84",4
Sara Snyder,Minnesota,Est,Steven Miller,13/12/2016,Junk,2,"12,42","24,84",4
Sara Snyder,Indiana,Est,Cynthia Mccoy,13/12/2016,Things,6,"17,83","106,98",21
Patrick Graham,California,Ouest,Laura Gutierrez,13/12/2016,Widgets,1,"53,35","53,35",6
Sara Snyder,Alabama,Est,Anna Franklin,13/12/2016,Things,8,"17,83","142,64",28
Patrick Graham,Washington,Ouest,Charles Collins,13/12/2016,Junk,6,"12,42","74,52",12
Patrick Graham,California,Ouest,Kelly Wagner,13/12/2016,Widgets,7,"53,35","373,45",42
Patrick Graham,California,Ouest,Robin Murphy,13/12/2016,Things,4,"17,83","71,32",14
Patrick Graham,Oregon,Ouest,Julie Gonzalez,13/12/2016,Widgets,2,"53,35","106,7",12
Frances Warren,Minnesota,Est,Matthew Berry,13/12/2016,Things,4,"17,83","71,32",14
Patrick Graham,Washington,Ouest,Sharon Montgomery,13/12/2016,Stuff,6,"16,32","97,92",18
Sara Snyder,New York,Est,Richard Walker,13/12/2016,Widgets,4,"53,35","213,4",24
Sara Snyder,New York,Est,Tammy Ferguson,13/12/2016,Widgets,4,"53,35","213,4",24
Frances Warren,New York,Est,Gerald Phillips,13/12/2016,Junk,6,"12,42","74,52",12
Randy Watson,New York,Est,Jennifer Black,13/12/2016,Widgets,3,"53,35","160,05",18
Sara Snyder,Minnesota,Est,Sandra Weaver,13/12/2016,Junk,2,"12,42","24,84",4
Randy Watson,Minnesota,Est,Paul Perkins,13/12/2016,Widgets,4,"53,35","213,4",24
Sara Snyder,Alabama,Est,Carlos Stephens,13/12/2016,Stuff,8,"16,32","130,56",24
Frances Warren,Indiana,Est,Ruth Burton,13/12/2016,Widgets,2,"53,35","106,7",12
Randy Watson,New York,Est,Stephen Hicks,14/12/2016,Junk,4,"12,42","49,68",8
Randy Watson,Indiana,Est,Jennifer Simpson,14/12/2016,Things,6,"17,83","106,98",21
Sara Snyder,Minnesota,Est,Todd Spencer,14/12/2016,Junk,10,"12,42","124,2",20
Sara Snyder,Minnesota,Est,Amanda Bryant,14/12/2016,Things,10,"17,83","178,3",35
Patrick Graham,California,Ouest,Jimmy Warren,14/12/2016,Widgets,4,"53,35","213,4",24
Sara Snyder,Minnesota,Est,Louise Rivera,14/12/2016,Stuff,6,"16,32","97,92",18
Patrick Graham,Washington,Ouest,Judy Sanchez,14/12/2016,Junk,3,"12,42","37,26",6
Sara Snyder,Minnesota,Est,Gary Young,14/12/2016,Widgets,6,"53,35","320,1",36
Patrick Graham,Washington,Ouest,Antonio Coleman,14/12/2016,Junk,9,"12,42","111,78",18
Diane Gonzalez,Washington,Ouest,Emily Matthews,14/12/2016,Junk,8,"12,42","99,36",16
Patrick Graham,Oregon,Ouest,Rose Matthews,14/12/2016,Junk,8,"12,42","99,36",16
Sara Snyder,New York,Est,Cheryl Riley,14/12/2016,Junk,3,"12,42","37,26",6
Randy Watson,Minnesota,Est,Joshua Diaz,14/12/2016,Junk,10,"12,42","124,2",20
Frances Warren,Minnesota,Est,Howard Adams,14/12/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Indiana,Est,Marilyn Patterson,14/12/2016,Junk,1,"12,42","12,42",2
Randy Watson,Minnesota,Est,Christopher Pierce,14/12/2016,Things,8,"17,83","142,64",28
Randy Watson,Indiana,Est,Edward Wells,14/12/2016,Junk,8,"12,42","99,36",16
Sara Snyder,Alabama,Est,Betty Hicks,14/12/2016,Junk,3,"12,42","37,26",6
Patrick Graham,Nevada,Ouest,Rachel Dunn,14/12/2016,Things,1,"17,83","17,83","3,5"
Sara Snyder,New York,Est,Nancy Stephens,14/12/2016,Things,1,"17,83","17,83","3,5"
Patrick Graham,California,Ouest,Benjamin Carpenter,14/12/2016,Junk,4,"12,42","49,68",8
Sara Snyder,New York,Est,Nancy Scott,14/12/2016,Widgets,8,"53,35","426,8",48
Randy Watson,New York,Est,Edward Cooper,14/12/2016,Junk,8,"12,42","99,36",16
Sara Snyder,Indiana,Est,Martha Mills,14/12/2016,Widgets,9,"53,35","480,15",54
Sara Snyder,New York,Est,Carl Rice,14/12/2016,Widgets,10,"53,35","533,5",60
Diane Gonzalez,Nevada,Ouest,John Simpson,14/12/2016,Stuff,7,"16,32","114,24",21
Sara Snyder,Minnesota,Est,Douglas Duncan,14/12/2016,Stuff,5,"16,32","81,6",15
Diane Gonzalez,California,Ouest,Michelle Sanchez,14/12/2016,Junk,9,"12,42","111,78",18
Patrick Graham,California,Ouest,Andrea Lawrence,14/12/2016,Widgets,3,"53,35","160,05",18
Sara Snyder,Alabama,Est,Benjamin Phillips,14/12/2016,Junk,3,"12,42","37,26",6
Sara Snyder,New York,Est,Anthony Berry,14/12/2016,Junk,1,"12,42","12,42",2
Sara Snyder,Minnesota,Est,Susan Watkins,14/12/2016,Things,7,"17,83","124,81","24,5"
Diane Gonzalez,California,Ouest,Kathy Porter,14/12/2016,Things,4,"17,83","71,32",14
Sara Snyder,New York,Est,Tina Jones,14/12/2016,Junk,3,"12,42","37,26",6
Sara Snyder,Indiana,Est,Keith Berry,14/12/2016,Stuff,7,"16,32","114,24",21
Sara Snyder,New York,Est,Carl Rice,14/12/2016,Junk,5,"12,42","62,1",10
Diane Gonzalez,Washington,Ouest,Jean Stephens,14/12/2016,Stuff,7,"16,32","114,24",21
Sara Snyder,Indiana,Est,Debra Barnes,14/12/2016,Things,6,"17,83","106,98",21
Sara Snyder,New York,Est,Juan Reed,14/12/2016,Junk,2,"12,42","24,84",4
Patrick Graham,California,Ouest,Martha Bell,15/12/2016,Widgets,9,"53,35","480,15",54
Patrick Graham,California,Ouest,Harold Duncan,15/12/2016,Widgets,10,"53,35","533,5",60
Patrick Graham,California,Ouest,Diana Hamilton,15/12/2016,Widgets,9,"53,35","480,15",54
Sara Snyder,New York,Est,Mark Parker,15/12/2016,Widgets,3,"53,35","160,05",18
Sara Snyder,Minnesota,Est,Jeremy Richards,15/12/2016,Junk,1,"12,42","12,42",2
Sara Snyder,New York,Est,Willie Hamilton,15/12/2016,Widgets,1,"53,35","53,35",6
Sara Snyder,New York,Est,Nicholas Howell,15/12/2016,Junk,3,"12,42","37,26",6
Sara Snyder,New York,Est,Katherine Mcdonald,15/12/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Indiana,Est,Robert Collins,15/12/2016,Things,4,"17,83","71,32",14
Randy Watson,New York,Est,Stephen Hicks,15/12/2016,Junk,9,"12,42","111,78",18
Randy Watson,Indiana,Est,Eugene Hayes,15/12/2016,Junk,4,"12,42","49,68",8
Frances Warren,Minnesota,Est,Jeremy Richards,15/12/2016,Things,6,"17,83","106,98",21
Patrick Graham,California,Ouest,Mary Rose,15/12/2016,Junk,3,"12,42","37,26",6
Sara Snyder,Minnesota,Est,Eric Robertson,15/12/2016,Stuff,2,"16,32","32,64",6
Diane Gonzalez,Oregon,Ouest,Kathy Lee,15/12/2016,Junk,8,"12,42","99,36",16
Sara Snyder,Indiana,Est,Johnny Fowler,15/12/2016,Junk,5,"12,42","62,1",10
Diane Gonzalez,California,Ouest,Robin Murphy,15/12/2016,Widgets,4,"53,35","213,4",24
Patrick Graham,Nevada,Ouest,Michelle Elliott,15/12/2016,Widgets,9,"53,35","480,15",54
Patrick Graham,Washington,Ouest,Evelyn Lane,15/12/2016,Things,10,"17,83","178,3",35
Frances Warren,Indiana,Est,Debra Barnes,15/12/2016,Widgets,8,"53,35","426,8",48
Sara Snyder,New York,Est,Stephen Hicks,15/12/2016,Widgets,10,"53,35","533,5",60
Patrick Graham,Oregon,Ouest,Billy Scott,15/12/2016,Junk,9,"12,42","111,78",18
Sara Snyder,New York,Est,Annie Wilson,15/12/2016,Widgets,3,"53,35","160,05",18
Sara Snyder,Alabama,Est,Sandra Meyer,15/12/2016,Junk,2,"12,42","24,84",4
Frances Warren,New York,Est,Martha Bryant,15/12/2016,Junk,2,"12,42","24,84",4
Frances Warren,New York,Est,Joseph Boyd,15/12/2016,Junk,1,"12,42","12,42",2
Diane Gonzalez,California,Ouest,Joan Robinson,15/12/2016,Things,4,"17,83","71,32",14
Sara Snyder,Indiana,Est,Ruby Evans,15/12/2016,Stuff,2,"16,32","32,64",6
Sara Snyder,New York,Est,Ronald Kim,15/12/2016,Things,6,"17,83","106,98",21
Randy Watson,Minnesota,Est,Dennis Reed,15/12/2016,Junk,6,"12,42","74,52",12
Diane Gonzalez,California,Ouest,Adam Garza,15/12/2016,Widgets,6,"53,35","320,1",36
Randy Watson,Minnesota,Est,Joan Cooper,16/12/2016,Junk,1,"12,42","12,42",2
Patrick Graham,Washington,Ouest,Margaret James,16/12/2016,Things,7,"17,83","124,81","24,5"
Sara Snyder,Minnesota,Est,Carl Ford,16/12/2016,Junk,10,"12,42","124,2",20
Sara Snyder,Minnesota,Est,Carl Ford,16/12/2016,Junk,9,"12,42","111,78",18
Sara Snyder,New York,Est,Marilyn Perez,16/12/2016,Junk,4,"12,42","49,68",8
Patrick Graham,Oregon,Ouest,Brian Roberts,16/12/2016,Widgets,7,"53,35","373,45",42
Sara Snyder,Minnesota,Est,Albert Cook,16/12/2016,Things,6,"17,83","106,98",21
Frances Warren,Minnesota,Est,Lillian Burke,16/12/2016,Junk,9,"12,42","111,78",18
Sara Snyder,Minnesota,Est,Kevin Barnes,16/12/2016,Junk,7,"12,42","86,94",14
Patrick Graham,Washington,Ouest,Marilyn Carpenter,16/12/2016,Widgets,4,"53,35","213,4",24
Sara Snyder,New York,Est,Katherine Hayes,16/12/2016,Junk,7,"12,42","86,94",14
Randy Watson,Minnesota,Est,Randy West,16/12/2016,Junk,8,"12,42","99,36",16
Sara Snyder,New York,Est,Randy Clark,16/12/2016,Stuff,2,"16,32","32,64",6
Patrick Graham,Washington,Ouest,Shirley Chavez,16/12/2016,Junk,6,"12,42","74,52",12
Frances Warren,Minnesota,Est,Jacqueline Hart,16/12/2016,Junk,4,"12,42","49,68",8
Patrick Graham,Washington,Ouest,Ruby Gonzales,16/12/2016,Junk,4,"12,42","49,68",8
Sara Snyder,New York,Est,Jane Sims,16/12/2016,Junk,1,"12,42","12,42",2
Diane Gonzalez,Oregon,Ouest,Teresa Payne,16/12/2016,Junk,3,"12,42","37,26",6
Randy Watson,Indiana,Est,Joseph Foster,16/12/2016,Things,4,"17,83","71,32",14
Sara Snyder,Minnesota,Est,Susan Watkins,16/12/2016,Stuff,4,"16,32","65,28",12
Sara Snyder,New York,Est,Betty Stewart,16/12/2016,Things,2,"17,83","35,66",7
Diane Gonzalez,Oregon,Ouest,Joyce Myers,16/12/2016,Widgets,7,"53,35","373,45",42
Sara Snyder,Alabama,Est,Carlos Stephens,16/12/2016,Widgets,2,"53,35","106,7",12
Sara Snyder,Minnesota,Est,Ryan Alvarez,16/12/2016,Junk,5,"12,42","62,1",10
Sara Snyder,Minnesota,Est,Lillian Burke,16/12/2016,Junk,2,"12,42","24,84",4
Patrick Graham,Washington,Ouest,Jerry Davis,16/12/2016,Junk,9,"12,42","111,78",18
Sara Snyder,Alabama,Est,Annie Collins,16/12/2016,Widgets,5,"53,35","266,75",30
Sara Snyder,Minnesota,Est,Louise Rivera,16/12/2016,Junk,9,"12,42","111,78",18
Diane Gonzalez,California,Ouest,Timothy Gonzales,16/12/2016,Widgets,4,"53,35","213,4",24
Diane Gonzalez,Washington,Ouest,Denise Henry,17/12/2016,Junk,9,"12,42","111,78",18
Sara Snyder,Indiana,Est,Laura Wells,17/12/2016,Junk,9,"12,42","111,78",18
Sara Snyder,Minnesota,Est,Carl Howard,17/12/2016,Widgets,8,"53,35","426,8",48
Randy Watson,New York,Est,Karen Gray,17/12/2016,Things,10,"17,83","178,3",35
Sara Snyder,Minnesota,Est,Eugene Hughes,17/12/2016,Junk,1,"12,42","12,42",2
Patrick Graham,Oregon,Ouest,Thomas Lane,17/12/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Indiana,Est,Stephen Welch,17/12/2016,Widgets,9,"53,35","480,15",54
Patrick Graham,California,Ouest,Jimmy Warren,17/12/2016,Things,6,"17,83","106,98",21
Sara Snyder,Indiana,Est,Ruby Evans,17/12/2016,Stuff,10,"16,32","163,2",30
Randy Watson,New York,Est,Cheryl Riley,17/12/2016,Widgets,2,"53,35","106,7",12
Diane Gonzalez,Washington,Ouest,Jennifer Adams,17/12/2016,Junk,5,"12,42","62,1",10
Patrick Graham,California,Ouest,Martha Bell,17/12/2016,Stuff,9,"16,32","146,88",27
Patrick Graham,Oregon,Ouest,Rachel Harris,17/12/2016,Things,9,"17,83","160,47","31,5"
Sara Snyder,New York,Est,Lois Castillo,17/12/2016,Stuff,6,"16,32","97,92",18
Patrick Graham,California,Ouest,Robin Murphy,17/12/2016,Things,7,"17,83","124,81","24,5"
Patrick Graham,Oregon,Ouest,Roger Bell,17/12/2016,Junk,9,"12,42","111,78",18
Sara Snyder,Alabama,Est,Benjamin Phillips,17/12/2016,Widgets,3,"53,35","160,05",18
Randy Watson,New York,Est,Anthony Berry,17/12/2016,Junk,7,"12,42","86,94",14
Randy Watson,Minnesota,Est,Juan Olson,17/12/2016,Stuff,7,"16,32","114,24",21
Frances Warren,Indiana,Est,Joseph Foster,17/12/2016,Widgets,4,"53,35","213,4",24
Sara Snyder,Minnesota,Est,Antonio Hunter,17/12/2016,Things,3,"17,83","53,49","10,5"
Frances Warren,Indiana,Est,Laura Wells,18/12/2016,Junk,3,"12,42","37,26",6
Diane Gonzalez,California,Ouest,Brenda Nelson,18/12/2016,Junk,6,"12,42","74,52",12
Patrick Graham,Washington,Ouest,Mildred Hernandez,18/12/2016,Things,3,"17,83","53,49","10,5"
Patrick Graham,California,Ouest,Anthony White,18/12/2016,Widgets,10,"53,35","533,5",60
Randy Watson,New York,Est,Peter Gilbert,18/12/2016,Junk,3,"12,42","37,26",6
Patrick Graham,Washington,Ouest,Daniel Perez,18/12/2016,Widgets,1,"53,35","53,35",6
Diane Gonzalez,Oregon,Ouest,Phillip Harrison,18/12/2016,Widgets,3,"53,35","160,05",18
Patrick Graham,Washington,Ouest,Shirley Chavez,18/12/2016,Widgets,4,"53,35","213,4",24
Sara Snyder,New York,Est,Sandra Hicks,18/12/2016,Things,3,"17,83","53,49","10,5"
Randy Watson,Indiana,Est,Victor Bell,18/12/2016,Things,6,"17,83","106,98",21
Frances Warren,New York,Est,Evelyn Greene,18/12/2016,Junk,7,"12,42","86,94",14
Frances Warren,Minnesota,Est,Linda Morrison,18/12/2016,Stuff,10,"16,32","163,2",30
Patrick Graham,Washington,Ouest,Gloria Morris,18/12/2016,Junk,9,"12,42","111,78",18
Randy Watson,New York,Est,Arthur Austin,18/12/2016,Junk,5,"12,42","62,1",10
Sara Snyder,New York,Est,Arthur Austin,18/12/2016,Junk,8,"12,42","99,36",16
Frances Warren,New York,Est,Louis Marshall,18/12/2016,Things,4,"17,83","71,32",14
Sara Snyder,Minnesota,Est,Kevin Torres,18/12/2016,Junk,5,"12,42","62,1",10
Diane Gonzalez,Washington,Ouest,Judy Sanchez,18/12/2016,Junk,6,"12,42","74,52",12
Sara Snyder,New York,Est,Tammy Ferguson,18/12/2016,Stuff,7,"16,32","114,24",21
Sara Snyder,Minnesota,Est,Bruce Reynolds,18/12/2016,Stuff,1,"16,32","16,32",3
Patrick Graham,California,Ouest,Norma West,18/12/2016,Widgets,3,"53,35","160,05",18
Patrick Graham,Washington,Ouest,Charles Montgomery,18/12/2016,Widgets,4,"53,35","213,4",24
Patrick Graham,Washington,Ouest,Stephen Martinez,18/12/2016,Widgets,9,"53,35","480,15",54
Sara Snyder,Minnesota,Est,Kevin Barnes,18/12/2016,Widgets,2,"53,35","106,7",12
Frances Warren,New York,Est,Chris Gilbert,18/12/2016,Junk,9,"12,42","111,78",18
Sara Snyder,Alabama,Est,Alan Dean,18/12/2016,Stuff,9,"16,32","146,88",27
Diane Gonzalez,Washington,Ouest,Annie Hunter,18/12/2016,Widgets,5,"53,35","266,75",30
Randy Watson,Minnesota,Est,Kathryn Fox,18/12/2016,Stuff,1,"16,32","16,32",3
Sara Snyder,Indiana,Est,Kathy Rice,18/12/2016,Stuff,9,"16,32","146,88",27
Frances Warren,Alabama,Est,Henry Cox,18/12/2016,Junk,6,"12,42","74,52",12
Sara Snyder,New York,Est,Gerald Phillips,18/12/2016,Stuff,10,"16,32","163,2",30
Randy Watson,Indiana,Est,Rachel Larson,18/12/2016,Junk,5,"12,42","62,1",10
Patrick Graham,Washington,Ouest,Emily Matthews,18/12/2016,Junk,2,"12,42","24,84",4
Patrick Graham,California,Ouest,Andrea Lawrence,18/12/2016,Widgets,1,"53,35","53,35",6
Patrick Graham,California,Ouest,Frank Garrett,18/12/2016,Things,9,"17,83","160,47","31,5"
Randy Watson,New York,Est,Dorothy Patterson,19/12/2016,Widgets,10,"53,35","533,5",60
Patrick Graham,Washington,Ouest,Paula Ross,19/12/2016,Stuff,7,"16,32","114,24",21
Sara Snyder,Indiana,Est,Judith Wood,19/12/2016,Widgets,8,"53,35","426,8",48
Sara Snyder,Minnesota,Est,Walter Meyer,19/12/2016,Junk,8,"12,42","99,36",16
Sara Snyder,New York,Est,Lillian Wood,19/12/2016,Junk,8,"12,42","99,36",16
Patrick Graham,Oregon,Ouest,Clarence Bishop,19/12/2016,Widgets,4,"53,35","213,4",24
Sara Snyder,Minnesota,Est,Steven Kelly,19/12/2016,Widgets,7,"53,35","373,45",42
Sara Snyder,New York,Est,Robert Hayes,19/12/2016,Junk,10,"12,42","124,2",20
Randy Watson,New York,Est,Louis Mason,19/12/2016,Stuff,1,"16,32","16,32",3
Sara Snyder,Minnesota,Est,Carolyn Scott,19/12/2016,Junk,5,"12,42","62,1",10
Frances Warren,Indiana,Est,Ernest Bishop,19/12/2016,Things,6,"17,83","106,98",21
Sara Snyder,New York,Est,Betty Stewart,19/12/2016,Things,2,"17,83","35,66",7
Frances Warren,New York,Est,Frank Owens,19/12/2016,Widgets,3,"53,35","160,05",18
Randy Watson,Minnesota,Est,Carolyn Scott,19/12/2016,Junk,3,"12,42","37,26",6
Sara Snyder,Minnesota,Est,Bobby Mitchell,19/12/2016,Widgets,7,"53,35","373,45",42
Sara Snyder,Minnesota,Est,Joseph Bishop,19/12/2016,Things,8,"17,83","142,64",28
Patrick Graham,Oregon,Ouest,Brian Roberts,19/12/2016,Widgets,9,"53,35","480,15",54
Patrick Graham,California,Ouest,Martha Bell,19/12/2016,Widgets,4,"53,35","213,4",24
Sara Snyder,Minnesota,Est,Jennifer Reyes,19/12/2016,Things,8,"17,83","142,64",28
Sara Snyder,Minnesota,Est,Virginia Foster,19/12/2016,Junk,10,"12,42","124,2",20
Sara Snyder,Minnesota,Est,Walter Kennedy,19/12/2016,Widgets,10,"53,35","533,5",60
Patrick Graham,Oregon,Ouest,Edward Taylor,19/12/2016,Junk,7,"12,42","86,94",14
Randy Watson,Indiana,Est,Heather Larson,19/12/2016,Widgets,2,"53,35","106,7",12
Patrick Graham,Washington,Ouest,Craig Thomas,19/12/2016,Junk,2,"12,42","24,84",4
Patrick Graham,California,Ouest,Tina Schmidt,19/12/2016,Junk,2,"12,42","24,84",4
Patrick Graham,Oregon,Ouest,Martha Harper,19/12/2016,Junk,10,"12,42","124,2",20
Patrick Graham,Washington,Ouest,Susan Jacobs,19/12/2016,Junk,7,"12,42","86,94",14
Patrick Graham,California,Ouest,Kathy Porter,19/12/2016,Things,6,"17,83","106,98",21
Frances Warren,Indiana,Est,Judy Carpenter,19/12/2016,Things,8,"17,83","142,64",28
Sara Snyder,Indiana,Est,Albert Dunn,19/12/2016,Things,9,"17,83","160,47","31,5"
Sara Snyder,Minnesota,Est,Deborah Wells,19/12/2016,Stuff,9,"16,32","146,88",27
Diane Gonzalez,Washington,Ouest,Ruby Gonzales,20/12/2016,Junk,5,"12,42","62,1",10
Diane Gonzalez,Oregon,Ouest,Clarence Bishop,20/12/2016,Junk,2,"12,42","24,84",4
Randy Watson,Minnesota,Est,Amy Carr,20/12/2016,Widgets,7,"53,35","373,45",42
Sara Snyder,Minnesota,Est,Alice Kelly,20/12/2016,Widgets,5,"53,35","266,75",30
Sara Snyder,Minnesota,Est,Jean Fowler,20/12/2016,Junk,3,"12,42","37,26",6
Sara Snyder,Minnesota,Est,Joseph Bishop,20/12/2016,Stuff,10,"16,32","163,2",30
Sara Snyder,Minnesota,Est,Mary Nelson,20/12/2016,Junk,4,"12,42","49,68",8
Sara Snyder,Indiana,Est,Phyllis Gonzales,20/12/2016,Junk,2,"12,42","24,84",4
Sara Snyder,Alabama,Est,Katherine Carroll,20/12/2016,Stuff,6,"16,32","97,92",18
Patrick Graham,Oregon,Ouest,Roger Bell,20/12/2016,Widgets,1,"53,35","53,35",6
Patrick Graham,Nevada,Ouest,Laura Mcdonald,20/12/2016,Things,4,"17,83","71,32",14
Patrick Graham,Washington,Ouest,Arthur Green,20/12/2016,Junk,1,"12,42","12,42",2
Frances Warren,Minnesota,Est,Todd Spencer,20/12/2016,Widgets,3,"53,35","160,05",18
Patrick Graham,California,Ouest,Frank Garrett,20/12/2016,Junk,2,"12,42","24,84",4
Randy Watson,Indiana,Est,Victor Bell,20/12/2016,Stuff,8,"16,32","130,56",24
Sara Snyder,Minnesota,Est,Frank Murphy,20/12/2016,Widgets,4,"53,35","213,4",24
Randy Watson,New York,Est,Bonnie Wagner,20/12/2016,Junk,2,"12,42","24,84",4
Diane Gonzalez,Washington,Ouest,Judy Sanchez,20/12/2016,Widgets,7,"53,35","373,45",42
Randy Watson,Minnesota,Est,Frances Lane,20/12/2016,Junk,2,"12,42","24,84",4
Randy Watson,New York,Est,Louise Frazier,20/12/2016,Stuff,6,"16,32","97,92",18
Randy Watson,Indiana,Est,Benjamin Willis,20/12/2016,Widgets,10,"53,35","533,5",60
Frances Warren,Indiana,Est,Anthony Ruiz,20/12/2016,Stuff,5,"16,32","81,6",15
Randy Watson,Alabama,Est,Theresa Kennedy,20/12/2016,Junk,4,"12,42","49,68",8
Sara Snyder,Minnesota,Est,Howard Adams,20/12/2016,Junk,9,"12,42","111,78",18
Frances Warren,New York,Est,Christina Little,20/12/2016,Stuff,2,"16,32","32,64",6
Sara Snyder,Minnesota,Est,Virginia Foster,20/12/2016,Junk,8,"12,42","99,36",16
Frances Warren,New York,Est,Jennifer Black,20/12/2016,Junk,7,"12,42","86,94",14
Patrick Graham,Oregon,Ouest,Henry Stanley,21/12/2016,Junk,10,"12,42","124,2",20
Diane Gonzalez,Oregon,Ouest,Teresa Payne,21/12/2016,Widgets,3,"53,35","160,05",18
Diane Gonzalez,California,Ouest,Edward Foster,21/12/2016,Stuff,8,"16,32","130,56",24
Diane Gonzalez,Oregon,Ouest,Michelle Phillips,21/12/2016,Things,8,"17,83","142,64",28
Sara Snyder,Minnesota,Est,Andrea King,21/12/2016,Widgets,7,"53,35","373,45",42
Diane Gonzalez,California,Ouest,Norma West,21/12/2016,Things,9,"17,83","160,47","31,5"
Randy Watson,Minnesota,Est,Justin Dixon,21/12/2016,Stuff,2,"16,32","32,64",6
Randy Watson,Minnesota,Est,Cheryl Myers,21/12/2016,Things,9,"17,83","160,47","31,5"
Frances Warren,Indiana,Est,Denise Mitchell,21/12/2016,Junk,4,"12,42","49,68",8
Frances Warren,New York,Est,Tina Jones,21/12/2016,Junk,5,"12,42","62,1",10
Sara Snyder,Indiana,Est,James Wheeler,21/12/2016,Widgets,9,"53,35","480,15",54
Frances Warren,Alabama,Est,Carlos Stephens,21/12/2016,Widgets,10,"53,35","533,5",60
Sara Snyder,Indiana,Est,Edward Wells,21/12/2016,Widgets,8,"53,35","426,8",48
Randy Watson,Minnesota,Est,Alan Romero,21/12/2016,Junk,1,"12,42","12,42",2
Diane Gonzalez,Oregon,Ouest,Roger Bell,21/12/2016,Things,2,"17,83","35,66",7
Patrick Graham,Oregon,Ouest,Alan Cole,21/12/2016,Stuff,3,"16,32","48,96",9
